destination_name,destination_url,book_title,book_author,first_publish_year
Chile,https://www.roughguides.com/chile/,Leaves of Grass,Walt Whitman,1855
Chile,https://www.roughguides.com/chile/,La casa de los espíritus,Isabel Allende,1982
China,https://www.roughguides.com/china/,The Good Earth,"Pearl S. Buck, Nick Bertozzi, Ruth Goode, Donald F. Roden, Ernst Simon, Stephen Colbourn",1548
China,https://www.roughguides.com/china/,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872
Colombia,https://www.roughguides.com/colombia/,Picasso,"Pablo Picasso, Jean-Louis Andral, Pierre Daix",1926
Colombia,https://www.roughguides.com/colombia/,El amor en los tiempos del cólera,Gabriel García Márquez,1985
Costa Rica,https://www.roughguides.com/costa-rica/,Costa Rica,United States. Bureau of the Census,1977
Costa Rica,https://www.roughguides.com/costa-rica/,Fodor's Costa Rica,Marlisa Kast-Myers,2016
Croatia,https://www.roughguides.com/croatia/,Picasso,William S. Lieberman,1930
Croatia,https://www.roughguides.com/croatia/,The Blood of Olympus,Rick Riordan,2001
Cuba,https://www.roughguides.com/cuba/,Memórias póstumas de Brás Cubas,Machado de Assis,1900
Cuba,https://www.roughguides.com/cuba/,The Old Man and the Sea,Ernest Hemingway,1952
Cyprus,https://www.roughguides.com/cyprus/,Othello,William Shakespeare,1622
Cyprus,https://www.roughguides.com/cyprus/,The history of the great plague in London in the year 1665,Daniel Defoe,1722
Czech Republic,https://www.roughguides.com/czech-republic/,Czech Republic,Erhards Gorys,2007
Czech Republic,https://www.roughguides.com/czech-republic/,The Czech Republic,Heather Docalavich,2006
Denmark,https://www.roughguides.com/denmark/,Hamlet,William Shakespeare,1603
Denmark,https://www.roughguides.com/denmark/,Fairy Tales and Stories,Hans Christian Andersen,1850
Dominican Republic,https://www.roughguides.com/dominican-republic/,Dominican Republic ..,Pan American Union.,1928
Dominican Republic,https://www.roughguides.com/dominican-republic/,The Dominican Republic guidebook,Marta Lugo,1989
Ecuador,https://www.roughguides.com/ecuador/,Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",1848
Ecuador,https://www.roughguides.com/ecuador/,Kids Travel Journal,Bluebird Books,2013
Egypt,https://www.roughguides.com/egypt/,The Kybalion,Three Initiates,1912
Egypt,https://www.roughguides.com/egypt/,History,Herodotus,1494
England,https://www.roughguides.com/england/,Book of common prayer,"Church of England, J. A. Maurault",1537
England,https://www.roughguides.com/england/,"Laws, etc",Great Britain.,1691
Estonia,https://www.roughguides.com/estonia/,Travel Journal,Travel Diary,2013
Estonia,https://www.roughguides.com/estonia/,Countries of the World,Tomas Clancy,2012
Ethiopia,https://www.roughguides.com/ethiopia/,"The History of Rasselas, Prince of Abyssinia","Samuel Johnson, Warren L. Fleischauer, Félix Paknadel, Octavie Belot, James MacAulay",1759
Ethiopia,https://www.roughguides.com/ethiopia/,Cutting for Stone,Abraham Verghese,2009
Fiji,https://www.roughguides.com/fiji/,"Treaties, etc",Rand McNally,1714
Fiji,https://www.roughguides.com/fiji/,Countries of the World,Tomas Clancy,2012
Finland,https://www.roughguides.com/finland/,The Lord of the Rings,J.R.R. Tolkien,1954
Finland,https://www.roughguides.com/finland/,Bible,Bible,1200
France,https://www.roughguides.com/france/,The Secret Garden,"Frances Hodgson Burnett, Francis Hodgson Burnett, Miller, Steve, Luisa Uribe",1911
France,https://www.roughguides.com/france/,A Little Princess,"Frances Hodgson Burnett, Johanna Ward, Oxford University Press Staff, Jennifer Bassett, Justine Eyre, Nancy Bond",1905
Georgia,https://www.roughguides.com/georgia/,Gone With the Wind,Margaret Mitchell,1905
Georgia,https://www.roughguides.com/georgia/,Carrie,Stephen King,1974
Germany,https://www.roughguides.com/germany/,Mein Kampf,Adolf Hitler,1922
Germany,https://www.roughguides.com/germany/,NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,1990
Ghana,https://www.roughguides.com/ghana/,Kids Travel Journal,Bluebird Books,2013
Ghana,https://www.roughguides.com/ghana/,Pakistan,United States,1965
Greece,https://www.roughguides.com/greece/,The Kybalion,Three Initiates,1912
Greece,https://www.roughguides.com/greece/,Eyewitness,DK Publishing,2000
Guatemala,https://www.roughguides.com/guatemala/,"Treaties, etc",Rand McNally,1714
Guatemala,https://www.roughguides.com/guatemala/,Historia verdadera de la conquista de la Nueva España,Bernal Díaz del Castillo,1632
Honduras,https://www.roughguides.com/honduras/,Kids Travel Journal,Bluebird Books,2013
Honduras,https://www.roughguides.com/honduras/,Travel Journal,Travel Diary,2013
Hong Kong,https://www.roughguides.com/hong-kong/,Tai-Pan (Asian Saga,James Clavell,1966
Hong Kong,https://www.roughguides.com/hong-kong/,Noble House,James Clavell,1981
Hungary,https://www.roughguides.com/hungary/,La Nuit,Elie Wiesel,1955
Hungary,https://www.roughguides.com/hungary/,Mishneh Torah (Codification of Talmudic laws),Moses Maimonides,1470
Iceland,https://www.roughguides.com/iceland/,Alice's Adventures in Wonderland,Lewis Carroll,1865
Iceland,https://www.roughguides.com/iceland/,Voyage au Centre de la Terre,Jules Verne,1867
India,https://www.roughguides.com/india/,A Passage to India,Edward Morgan Forster,1924
India,https://www.roughguides.com/india/,"Ramayana, a Holy Bible of India","Vālmīki, Robert P. Goldman, Rosalind Lefeber, Sheldon I. Pollock",1823
Indonesia,https://www.roughguides.com/indonesia/,Julius Caesar,William Shakespeare,1684
Indonesia,https://www.roughguides.com/indonesia/,The Prince,"Niccolò Machiavelli, W Grüzmacher, W. Grüzmacher, George Bull, Jon Lee Anderson, Eko, Ninian Hill Thomson, Yovelina Del Jesus, Angelo M. Codevilla",1515
Ireland,https://www.roughguides.com/ireland/,Poems,William Butler Yeats,1895
Ireland,https://www.roughguides.com/ireland/,Paul Klee,Paul Klee,1930
Israel,https://www.roughguides.com/articles/the-city-that-has-it-all-tel-aviv-israel/,Antony and Cleopatra,William Shakespeare,1734
Israel,https://www.roughguides.com/articles/the-city-that-has-it-all-tel-aviv-israel/,Julius Caesar,William Shakespeare,1684
Italy,https://www.roughguides.com/italy/,The Second World War,Winston S. Churchill,1948
Italy,https://www.roughguides.com/italy/,Ab urbe condita,Titus Livius,1481
Jamaica,https://www.roughguides.com/jamaica/,Jamaica Inn,Daphne du Maurier,1936
Jamaica,https://www.roughguides.com/jamaica/,Jamaica's Find,"Juanita Havill, Anne Sibley O'Brien, Teresa Mlawer",1986
Japan,https://www.roughguides.com/japan/,Of Mice and Men,John Steinbeck,1937
Japan,https://www.roughguides.com/japan/,The Second World War,Winston S. Churchill,1948
Jordan,https://www.roughguides.com/jordan/,The Eye of the World (The Wheel of Time Book 1),Robert Jordan,1990
Jordan,https://www.roughguides.com/jordan/,Study Guide,SuperSummary,2017
Kazakhstan,https://www.roughguides.com/kazakhstan/,Countries of the World,Tomas Clancy,2012
Kazakhstan,https://www.roughguides.com/kazakhstan/,Kazakhstan,Martha Brill Olcott,2001
Kenya,https://www.roughguides.com/kenya/,A Caribbean Mystery,Agatha Christie,1964
Kenya,https://www.roughguides.com/kenya/,Mémoires,Giacomo Casanova,1830
Kyrgyzstan,https://www.roughguides.com/kyrgyzstan/,Sonnets,William Shakespeare,1609
Kyrgyzstan,https://www.roughguides.com/kyrgyzstan/,Kyrgyzstan,Osmonakun Ibraimov,2001
Laos,https://www.roughguides.com/laos/,The Sayings of Lao Tzü,Laozi,1875
Laos,https://www.roughguides.com/laos/,The Old Man and the Sea,Ernest Hemingway,1952
Latvia,https://www.roughguides.com/latvia/,Countries of the World,Tomas Clancy,2012
Latvia,https://www.roughguides.com/latvia/,Latvia,Valdis Melderis,1980
Lithuania,https://www.roughguides.com/lithuania/,The Jungle,Upton Sinclair,1905
Lithuania,https://www.roughguides.com/lithuania/,The Corrections,Jonathan Franzen,2001
Macedonia,https://www.roughguides.com/macedonia/,History,Herodotus,1494
Macedonia,https://www.roughguides.com/macedonia/,Plutarchi Vitae parallelae,Plutarch,1478
Madagascar,https://www.roughguides.com/madagascar/,Kids Travel Journal,Bluebird Books,2013
Madagascar,https://www.roughguides.com/madagascar/,Mistero in Madagascar,Elisabetta Dami,2015
Malaysia,https://www.roughguides.com/malaysia/,The Prince and the Pauper,Mark Twain,1881
Malaysia,https://www.roughguides.com/malaysia/,A town like Alice,Nevil Shute,1950
Maldives,https://www.roughguides.com/maldives/,The Maldive mystery,Thor Heyerdahl,1986
Maldives,https://www.roughguides.com/maldives/,Tuḥfat al-nuẓẓār fī gharāʾib al-amṣār wa-ʻajāʾib al-asfār,"Ibn Batuta, A. R. Gibb, H. A. R. Gibb",1829
Malta,https://www.roughguides.com/malta/,"Extradition laws and treaties, United States",United States,1795
Malta,https://www.roughguides.com/malta/,"Treaties, etc",Rand McNally,1714
Mauritius,https://www.roughguides.com/mauritius/,Ab urbe condita,Titus Livius,1481
Mauritius,https://www.roughguides.com/mauritius/,Kids Travel Journal,Bluebird Books,2013
Mexico,https://www.roughguides.com/mexico/,The Pearl,John Steinbeck,1945
Mexico,https://www.roughguides.com/mexico/,Ender's Game,Orson Scott Card,1985
Mongolia,https://www.roughguides.com/mongolia/,The Travels of Marco Polo,Marco Polo,1818
Mongolia,https://www.roughguides.com/mongolia/,"Treaties, etc",Rand McNally,1714
Montenegro,https://www.roughguides.com/montenegro/,Implementation of the Helsinki accords,United States. Congress. Commission on Security and Cooperation in Europe,1982
Montenegro,https://www.roughguides.com/montenegro/,Composition Book,Harriet Flora,2020
Morocco,https://www.roughguides.com/morocco/,Pickwick Papers,"Charles Dickens, A. G. Eyre, David Foulds, Jenny Sanchez, Federigo Verdinois, Pierre Grollier, JUAN DE PASO, José María Valverde Pacheco, Josep Carner",1800
Morocco,https://www.roughguides.com/morocco/,The Sign of Four,Arthur Conan Doyle,1889
Myanmar (Burma),https://www.roughguides.com/myanmar-burma/,Myanmar (Burma),Kyi Kyi May,2015
Myanmar (Burma),https://www.roughguides.com/myanmar-burma/,Myanmar (Burma),"Michael Clark, Joe Cummings",1999
Namibia,https://www.roughguides.com/namibia/,Countries of the World,Tomas Clancy,2012
Namibia,https://www.roughguides.com/namibia/,Namibia,"Anthony Bannister, Peter Johnson",1978
Nepal,https://www.roughguides.com/nepal/,Tempest,William Shakespeare,1611
Nepal,https://www.roughguides.com/nepal/,The Logic of Scientific Discovery,Karl Popper,1935
Netherlands,https://www.roughguides.com/netherlands/,"Frotiers Peace Treaties, and International Organization","Vincent van Gogh, Colta Ives, Sjraar van Heugten, Marije Vellekoop, Ingo F. Walther, Rainer Metzger, Louis van Tilborgh, Johannes von Uitert, Schapiro, Meyer",1914
Netherlands,https://www.roughguides.com/netherlands/,Het Achterhuis,Anne Frank,1944
New Zealand,https://www.roughguides.com/new-zealand/,The Railway Children,Edith Nesbit,1906
New Zealand,https://www.roughguides.com/new-zealand/,Alice's Adventures in Wonderland,Lewis Carroll,1865
Nicaragua,https://www.roughguides.com/nicaragua/,Memórias póstumas de Brás Cubas,Machado de Assis,1900
Nicaragua,https://www.roughguides.com/nicaragua/,The history of the great plague in London in the year 1665,Daniel Defoe,1722
Norway,https://www.roughguides.com/norway/,On The Beach,"Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff, SparkNotes",1957
Norway,https://www.roughguides.com/norway/,Northern Lights,Philip Pullman,1995
Oman,https://www.roughguides.com/oman/,The Master Puppeteer,Katherine Paterson,1975
Oman,https://www.roughguides.com/oman/,Defence,Canada. Dept. of External Affairs.,1951
Panama,https://www.roughguides.com/panama/,Der Proceß,Franz Kafka,1925
